章,名称,国名,登録基準,特殊遺産,時代・王朝,民族,人,生物,構成資産,建築・絵画の様式,特徴
登録基準,プレア・ビヒア寺院,カンボジア,(ⅰ),,クメール王朝,,スーリヤヴァルマン1世,,,,"ヒンドゥー教の聖地だがのちに仏教寺院として改築された
 登録基準(ⅰ)のみで登録された"
登録基準,タージ・マハル,インド,(ⅰ),,ムガル帝国,,シャー・ジャハーン,,,,"ムムターズ・マハルのための霊廟
 完全な左右対称"
登録基準,シドニーのオペラハウス,オーストラリア,(ⅰ),,,,ヨーン・ウッツォン,,,,ベネロング・ポイントの先端にたつコンサートホール
登録基準,ニース：リヴィエラの冬のリゾート都市,フランス,(ⅱ),,,,,,,,冬の観光に特化した都市として発展してきた
登録基準,パドヴァの14世紀のフレスコ画群,イタリア,(ⅱ),,,,,,スクロヴェーニ礼拝堂,,フレスコ画を保持する8つの建造物群
登録基準,バンチェンの考古遺跡,タイ,(ⅲ),,,,,,,,彩文土器が発見された
登録基準,オネガ湖と白海の岩絵群,ロシア,(ⅲ),,,,,,,,"オネガ湖の岩絵は幾何学的な形が多い
 白海の岩絵は狩猟や航海とその道具動物や人間の足跡が中心"
登録基準,ボローニャのポルティコ群,イタリア,(ⅳ),,,,,,,,公共のための私有財産
登録基準,ゼレナー・ホラにあるネポムークの聖ヨハネ巡礼教会,チェコ,(ⅳ),,,,ヤン・ブラジェイ・サンティーニ,,,,ベネディクト会教会
登録基準,ヘルシングランドの装飾された農夫の家,スウェーデン,(ⅴ),,,,,,,グスタヴィアン様式,亜麻の栽培や森林開拓による富を得た農夫が木造家屋を立て直した
登録基準,フェルテー（ノイジードル）湖の文化的景観,オーストリア、ハンガリー,(ⅴ),文化的景観,,,,,,,"ヨーロッパ最大の塩水湖
 エスターハージ家の宮殿風の館や田舎風の貴族の館が残る"
登録基準,アープラヴァシ・ガート,モーリシャス,(ⅵ),負の遺産,,,,,,,"「移民海岸」や「移民発着所」を指す言葉
 「契約移民労働」の偉大な実験場"
登録基準,バッファロー狩りの断崖,カナダ,(ⅵ),,,ブラックフット族,,,,,5000年以上前続く追い込み猟
登録基準,ウニアンガ湖群,チャド,(ⅶ),,,,,,,,"ウニアンガ・ケビル群最大のヨアン湖は面積約3.5km²深さ約27m
 ウニアンガ・スリ群最大のテリ湖を中心に独自の水文システムがある"
登録基準,九寨溝：歴史的・景観的重要地区,中国,(ⅶ),,,,,,,,"五花海などは石灰岩地層からの湧き水
 ジャイアントパンダの保護区の1つ"
登録基準,オオカバマダラ蝶生物圏保存地域,メキシコ,(ⅶ),,,,,,,,"北米各地から南下してくるオオカバマダラ蝶の越冬地
 4世代にわたる世代交代がある"
登録基準,ステウンスの崖壁,デンマーク,(ⅷ),,,,,,,,"ユカタン半島あたりにチクシュルーブ隕石が衝突
 滅びた動植物の化石が完全な形で残る地層が形成された"
登録基準,レナ石柱自然公園,ロシア,(ⅷ),,カンブリア紀,,,,,,
登録基準,ヒルカニアの森林群,イラン・イスラム,(ⅸ),,,,,ペルシャヒョウ,,,
登録基準,スルツェイ火山島,アイスランド,(ⅸ),,,,,,,,生態系を含む自然環境がどのように変化していくのかを知るのに絶好の情報を提供している
登録基準,ケーン・クラチャーン森林関連遺産群,タイ,(ⅹ),,,,,シャムワニ,,,
登録基準,ゲボル：韓国の干潟,韓国,(ⅹ),,,,,,,,地質条件や海況気候条件が複雑に絡みあい沿岸域の多様な堆積システムにつながった
文化的景観,オルチア渓谷,イタリア,(ⅳ)(ⅵ),文化的景観,シエナ,,,,,,"丘陵や集落を結ぶ道に沿って糸杉が植えられた
 人間による開発が自然の美しさをさらに高めた理想的な例だと評価される"
文化的景観,アル・アハサ・オアシス：進化する文化的景観,サウジアラビア,(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,,,約250万本ものナツメヤシが生育する世界最大のオアシス
文化的景観,ホルトバージ国立公園：プスタ（大平原）,ハンガリー,(ⅳ)(ⅴ),文化的景観,,,,,,,ドナウ川と支流ティサ川流域に広がるプスタの一角を占める地域
文化的景観,ヴェガエイヤン：ヴェガ群島,ノルウェー,(ⅴ),文化的景観,,,,ケワタガモ,,,
文化的景観,マトボの丘群,ジンバブエ,(ⅲ)(ⅴ)(ⅵ),文化的景観,,,,,,,岩壁や洞窟にはサン族が描いたとされる動物などの壁画も残る
文化的景観,チャン・アンの景観関連遺産群,ベトナム,(ⅴ)(ⅶ)(ⅷ),文化的景観,,,,,,,石灰岩の山や鍾乳洞からなる熱帯カルスト地形が広がる
文化的景観,ライティング・オン・ストーン/アイシナイピ,カナダ,(ⅲ),文化的景観,,,,,,,浸食作用で削り出された円柱状の岩はフードゥーと呼ばれる
文化的景観,シントラの文化的景観,ポルトガル,(ⅱ)(ⅳ)(ⅴ),文化的景観,,,,,,,"宮殿の最も重要な特徴の一つはムデハル様式のアズレージョ
 フェルディナンド2世改築のペナ宮殿は様々な建築様式が混在されたロマン主義代表の建築"
文化的景観,ロワール渓谷：シュリー・シュル・ロワールからシャロンヌまで,フランス,(ⅰ)(ⅱ)(ⅳ),文化的景観,,,,,,ルネサンス様式,ルネサンスから啓蒙主義時代の思想的変遷が読み取れる
文化的景観,ディヤルバクル要塞とへヴセル庭園群の文化的景観,トルコ,(ⅳ),文化的景観,,,,,,,"イチカレというアミダ土塁を含む内部の城が構成資産となる
 食料と水を都市に供給するティグリス川流域と都市が深い関係にある"
文化的景観,ケヴラーダ・デ・ウマウアカ,アルゼンチン,(ⅱ)(ⅳ)(ⅴ),文化的景観,インカ帝国,,,,,,プカラと呼ばれる要塞集落がある
文化的景観,ホーラマン/ウラマナトの文化的景観,イラン・イスラム,(ⅲ)(ⅴ),文化的景観,,ホーラミ人,,,,,半農半牧的な生活の文化的伝統を示す
文化的景観,ル・モルヌの文化的景観,モーリシャス,(ⅲ)(ⅵ),文化的景観,,,,,,,逃亡奴隷（マルーン）が山頂や洞窟でひそかに生活した
ラムサール条約,オフリド地方の自然及び文化遺産,アルバニア及びマケドニア,(ⅰ)(ⅲ)(ⅳ)(ⅶ),,,,聖クリメント,,,,"聖パンテレイモン修道院は当時のヨーロッパで最古の教育機関の1つ
 聖ヨハネ・カネオ聖堂は現在も残る建築物である"
ラムサール条約,ニューカレドニアの珊瑚礁：環礁の多様性と関連する生態系,フランス,(ⅶ)(ⅸ)(ⅹ),,,,,ジュゴン,,,146種のサンゴ
ラムサール条約,ワッデン海,ドイツ、オランダ、デンマーク,(ⅷ)(ⅸ)(ⅹ),,,,,アザラシ,,,潮の干満によって生み出された砂洲などが動植物にとって重要な生息地となっている
ラムサール条約,レドニツェ－ヴァルチツェの文化的景観,チェコ,(ⅰ)(ⅱ)(ⅳ),文化的景観,,,,,,,"リヒテンシュタイン侯爵家によって築かれた建造物が残る
 ヨハン・ヨーゼフ1世によりロマン主義を取り入れたイギリス式庭園が建設された"
ラムサール条約,ブトリントの考古遺跡,アルバニア,(ⅲ),,,,,,,バシリカ式,医療の神アスクレピオスを祀る神殿が残る
ラムサール条約,スレバルナ自然保護区,ブルガリア,(ⅹ),,,,,ブルガリアに生息するほぼ全種の鳥類,,,
ラムサール条約,マドリウ・パラフィタ・クラロー渓谷,アンドラ,(ⅴ),文化的景観,アンドラ公国,,,,,,
ラムサール条約,ウッド・バッファロー国立公園,カナダ,(ⅶ)(ⅸ)(ⅹ),,,,,アメリカシロヅル,,,
ラムサール条約,シアン・カーン自然保護区,メキシコ,(ⅶ)(ⅹ),,,,,,,,"マヤの言葉で空の始まるところという意味
 保護区域には無数に点在するセノーテやハンモックがみられる"
ラムサール条約,ケオラディ国立公園,インド,(ⅹ),,,,,ソデグロヅル,,,マハラジャが堤防を築き狩猟場として整備
ラムサール条約,シュンドルボン,バングラデシュ,(ⅸ)(ⅹ),,,,,,,,世界最大規模のマングローブ林が公園内に広がる
ラムサール条約,トゥバッタハ岩礁自然公園,フィリピン,(ⅶ)(ⅸ)(ⅹ),,,,,,,,岩礁の外側はドロップオフと呼ばれるサンゴ礁の断崖となっている
ラムサール条約,ウヴス・ヌール盆地,モンゴル、ロシア,(ⅸ)(ⅹ),,,,,,,,塩水湖のウヴス・ヌール湖はモンゴル最大の湖である
ラムサール条約,中国の黄海・渤海湾沿岸の渡り鳥保護区（第1段階）,中国,(ⅹ),,,,,"ヘラシギ
 カラフトアオアシシギ",,,東アジア・オーストラリア地域フライウェイを利用する渡り鳥が多く集まる場として国際的に重要である
ラムサール条約,サムール・デルタ,ルーマニア,(ⅶ)(ⅸ),文化的景観,,,,,,,パオバブ林の中に218個もの貝塚が存在する
ラムサール条約,ジュジ国立鳥類保護区,セネガル,(ⅹ),,,,,"モモイロペリカン
 アフリカマナティ",,,
ラムサール条約,マナ・プールズ国立公園、サピとチュウォールの自然保護区,ジンバブエ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,ザンベジ川中流域アフリカ大地溝帯の断層が横切る谷間に広がる
ラムサール条約,オカバンゴ・デルタ,ボツワナ,(ⅶ)(ⅸ)(ⅹ),,,,,,,,"1000件に達した際の記念すべき遺産
 海につながらない内陸のデルタとして貴重でありアフリカ最大規模を誇る"
ラムサール条約,イシュケル国立公園,チュニジア,(ⅹ),,フサイン王朝,,,,,,旧北区西部の鳥にとって重要な越冬地であり毎年冬になると数十万の鳥が飛来する
ラムサール条約,バン・ダルガン国立公園,モーリタニア,(ⅸ)(ⅹ),,,,,チチュウカイモンクアザラシ,,,海岸から60km離れても水深はわずか5mの遠浅の海
無形文化遺産,マラケシュの旧市街,モロッコ,(ⅰ)(ⅱ)(ⅳ)(ⅴ),,ムラービト朝,,ユースフ・イブン・ターシュフィーン,,"クトゥビーヤ・モスク
 ジャマ・エル・フナ広場",,"ヤアクーブ・マンスールの治世にカスバが建設された
 死者たちの集会を意味するジャマ・エル・フナ広場の文化的空間が無形文化遺産に登録"
無形文化遺産,キンデルダイク‐エルスハウトの風車群,オランダ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,"ネーデルラントとは低地を意味する
 2017年に風車守の風車と水車の運転技術が無形文化遺産に登録"
無形文化遺産,ブルー・アント・ジョン・クロウ山脈,ジャマイカ,(ⅲ)(ⅳ)(ⅹ),,,,,,,,"ブルー・マウンテンとジョン・クロウ・マウンテンを含む熱帯山岳雨林
 タイノ族やマルーンが奴隷労働からこの地に逃れ集団生活を営む
 2008年にムーア・タウンのマルーンの遺産として無形文化遺産に登録"
無形文化遺産,ミジケンダ諸族のカヤ聖域森林,ケニア,(ⅲ)(ⅴ)(ⅳ),文化的景観,,,,,,,"カヤと呼ばれる要塞化された円形の村落が点在している
 2009年にミジケンダの聖なる森林にあるカヤに関する伝統と慣習として無形文化遺産に登録"
無形文化遺産,ベルギーとフランスの鐘楼群,フランス、ベルギー,(ⅱ)(ⅳ),,,,,,,,"11世紀から17世紀の鐘楼が数多く残されており55の鐘楼が世界遺産に登録されている
 ホリヨンの文化がベルギーの無形文化遺産に登録"
無形文化遺産,エル・タヒンの古代都市,メキシコ,(ⅲ)(ⅳ),,,トトナカ人,,,,,
無形文化遺産,ワディ・ラム保護地域,ヨルダン,(ⅲ)(ⅴ)(ⅶ),,,,ベドウィン,,,,彼らの知恵や技術が口承されその文化的空間が無形文化遺産に登録
無形文化遺産,イランのアルメニア教会修道院群,イラン・イスラム,(ⅱ)(ⅲ)(ⅵ),,,,,,"聖タデウス修道院
 聖ステファノス修道院
 ゾルゾルの聖マリア聖堂",,"各構成資産はアルメニア人の伝統建築や装飾を顕著に表す建造物群
 毎年7月に行われる修道院への巡礼が無形文化遺産に登録"
無形文化遺産,アル・アインの文化的景観（ハフィート、ヒリ、ビダ・ビント・サウードとオアシス群）,アラブ首長国連邦,(ⅲ)(ⅳ)(ⅴ),,,,,,,,ヒリでは鉄器時代の灌漑施設アフラージュの跡が発見されている
無形文化遺産,宗廟,大韓民国,(ⅳ),,,,李成桂,,,,
無形文化遺産,フィリピンのコルディリェーラの棚田群,フィリピン,(ⅲ)(ⅳ)(ⅴ),文化的景観,,イフガオ族,,,,,種まきや収穫葬儀などに際して行われるハドハドという詠唱が無形文化遺産に登録
無形文化遺産,バリの文化的景観：バリ・ヒンドゥー哲学トリ・ヒタ・カラナを表す水利システム「スバック」,インドネシア,(ⅲ)(ⅴ)(ⅵ),文化的景観,,,,,,,スバックがバリ・ヒンドゥーの哲学であるトリ・ヒタ・カラナの概念を反映している
道の遺産,サンティアゴ・デ・コンポステーラの巡礼路：カミノ・フランセスとスペイン北部の道,スペイン,(ⅱ)(ⅳ)(ⅵ),,,,,,,ロマネスク様式,"原初の道内陸バスクの道リエバナの道がスペイン北部の道として2015年に拡大登録された
 巡礼路はナバーラ王国の首都であったパンプローナやレオン王国の首都であったレオンなど
 9世紀に聖ヤコブの墓が発見されたことにより巡礼が盛んになっていく"
道の遺産,フランスのサンティアゴ・デ・コンポステーラの巡礼路,フランス,(ⅱ)(ⅳ)(ⅵ),,,,,,"サン・ガティアン大聖堂
 サン・セルナン協会
 ル・ピュイの道",,
道の遺産,サンティアゴ・デ・コンポステーラ（旧市街）,スペイン,(ⅰ)(ⅱ)(ⅵ),,,,,,栄光の門,,黄金に輝く傑作であるチュリゲラ様式のファサード
道の遺産,ピレネー山脈のペルデュ山,スペイン及びフランス,(ⅲ)(ⅳ)(ⅴ)(ⅶ)(ⅷ),文化的景観,,,,,,,"移牧
 ガルヴァニーには氷河の浸食作用で形成された圏谷が広がる"
道の遺産,アルルのローマ遺跡とロマネスク建築,フランス,(ⅱ)(ⅳ),,,,,,"サン・トロフィーム聖堂
 サン・トノラ教会",ロマネスク様式,サン・トロフィーム聖堂の扉口上のタンパンに最後の審判を再現した彫刻がある
道の遺産,アミアンの大聖堂,フランス,(ⅰ)(ⅱ),,,,,,,ゴシック建築,ゴシックの大聖堂としては極めて珍しい統一感のある建造物を生み出した
道の遺産,ヴェズレーの教会と丘,フランス,(ⅰ)(ⅵ),,,,,,サント・マドレーヌ教会,,
道の遺産,ブールジュの大聖堂,フランス,(ⅰ)(ⅳ),,,,,,,,ルネサンス様式の北塔は芸術的な美しさを備えている
道の遺産,アルブラとベルニナの景観とレーティッシュ鉄道,イタリア及びスイス,(ⅱ)(ⅳ),,,,,,,,"アルプスの最高地点を走る鉄道
 20世紀初頭の山岳鉄道建設における最高レベルの技術"
道の遺産,ゼメリング鉄道,オーストリア,(ⅱ)(ⅳ),,,,,,,,グログニッツとミュルツツーシュラクを結ぶ
道の遺産,フォース鉄道橋,イギリス,(ⅰ)(ⅳ),,,,,,,,"世界で最初期につくられたトラス式カンチレバー橋
 現在でも世界第2位の長さ"
道の遺産,ミディ運河,フランス,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,ピエール・ポール・リケ,,,,
道の遺産,ポントカサステ水路橋と運河,イギリス,(ⅰ)(ⅱ)(ⅳ),,,,,,,,産業革命の土木技術を結集させた英国で最も高く長い水路橋
道の遺産,シルク・ロード：長安から天山回廊の交易網,カザフスタン/キルギス/中国,(ⅱ)(ⅲ)(ⅴ)(ⅵ),,,,,,,,中継交易
道の遺産,京杭大運河,中国,(ⅰ)(ⅲ)(ⅳ)(ⅵ),,隋,,煬帝,,,,
道の遺産,イラン縦貫鉄道,イラン・イスラム,(ⅱ)(ⅳ),,,,,,,,外国からの投資と支配を避けるためイラン国内資本によって賄われた
道の遺産,ネゲヴにある香料の道と砂漠都市群,イスラエル,(ⅲ)(ⅴ),文化的景観,,ナバテア（ナバタイ）人,,,,,
道の遺産,カパック・ニャン：アンデスの道,アルゼンチン/エクアドル/コロンビア/チリ/ペルー/ボリビア,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,インカ道と呼ばれる細く入り組んだ道と結びつきながら広がっていった
道の遺産,カミノ・レアル・ディ・ティエラ・アデントロ－メキシコ内陸部の王の道,メキシコ,(ⅱ)(ⅳ),,,,,,,,銀の道
化石,カナディアン・ロッキー山脈国立公園群,カナダ,(ⅶ)(ⅷ),,カンブリア紀,,,アノマロカリス,,,ウォルコットが発見した地層をバージェス頁岩と命名した
化石,澄江の化石出土地域,中国,(ⅷ),,カンブリア紀,,,ナラオイア,,,
化石,ミステイクン・ポイント,カナダ,(ⅷ),,エディアカラン生物群,,,,,,
化石,イスチグアラストとタランパヤ自然公園群,アルゼンチン,(ⅷ),,三畳紀,,,,,,
化石,ジョギンズの化石断崖群,カナダ,(ⅷ),,ペンシルベニア紀,,,,,,
化石,ミグアシャ国立公園,カナダ,(ⅷ),,,,,ステノプテロン,,,
化石,サン・ジョルジオ山,イタリア及びスイス,(ⅷ),,,,,タニストロフェウス,,,
化石,メッセルの化石採掘地域,ドイツ,(ⅷ),,,,,,,,オイルシェール層
化石,ワディ・アル・ヒタン（鯨の谷）,エジプト・アラブ,(ⅷ),,新世代古第三紀,,,バシロサウルス,,,
化石,オーストラリアの哺乳類の化石保存地区,オーストラリア,(ⅷ)(ⅸ),,,,,ティラコレオ,,,
化石,南アフリカの人類化石遺産群,南アフリカ,(ⅲ)(ⅵ),,,アウストラロピテクス・アフリカヌス,,,,,
化石,アタプエルカの考古遺跡群,スペイン,(ⅲ)(ⅴ),,,ホモ・アンテセッサー,,,,,
化石,人類化石出土のサンギラン遺跡,インドネシア,(ⅲ)(ⅳ),,,ホモ・エレクトゥス・エレクトゥス,,,,,
化石,北京原人化石出土の周口店遺跡,中国,(ⅲ)(ⅵ),,,シナントロプス・ペキネンシス（北京原人）,,,,,
化石,カルメル山の人類の進化を示す遺跡群：ナハル・メアロット/ワディ・エル-ムガラ洞窟,イスラエル,(ⅲ)(ⅴ),,ムスティエ文化,,,,,,
化石,オモ川下流域,エチオピア,(ⅲ)(ⅳ),,,新種のアウストラロピテクス属,,,,,
巨石記念物,ストーンヘンジ、エイヴベリーの巨石遺跡と関連遺産群,イギリス,(ⅰ)(ⅱ)(ⅲ),,,,,,,,"第2期にブルー・ストーンと呼ばれる石でメンヒル群が形成された
 ストーンヘンジはブリティッシュ・ヘリテイジが管理
 ヨーロッパ最大級の環状列石であるエイヴベリーはナショナル・トラストが管理"
巨石記念物,高敞、和順、江華の支石墓跡,韓国,(ⅲ),,,,,,,,"支石墓のことを英語でドルメン韓国語でコインドルという
 垂直な岩板で石室をつくり天井岩を支える卓子形支石墓（北部式）
 支石の上に蓋石を置く碁盤形支石墓（南部式）"
巨石記念物,メノルカ島のタライオティック文化先史遺跡群,スペイン,(ⅲ)(ⅳ),,,,,,タラヨット,キュクロプス式,
巨石記念物,マルタの巨石神殿群,マルタ,(ⅳ),,,,,,,,1980年にジュガンティーヤの2基が登録され1992年に5つの神殿が拡大登録された
巨石記念物,セネガンビアのストーン・サークル遺跡群,ガンビア及びセネガル,(ⅰ)(ⅲ),,,,,,,,ストーン・サークルには墳墓が付随している
巨石記念物,ディキスの石球のある先コロンブス期の首長制集落群,コスタリカ,(ⅲ),,,,,,,,"首長は力関係に応じた階層的な集落を形成していた
 完璧な球形をした石球が集積している"
巨石記念物,オークニー諸島の新石器時代遺跡,イギリス,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,,,メインランド島にあるスカラ・ブラエなど4つの遺跡で登録されている
巨石記念物,セント・キルダ諸島,イギリス,(ⅲ)(ⅴ)(ⅶ)(ⅸ)(ⅹ),文化的景観,,,,,,,海鳥の繁殖地になっている
巨石記念物,アンテケラの支石墓遺跡,スペイン,(ⅰ)(ⅱ)(ⅳ),,,,,,"メンガとビエラの支石墓
 エル・ロメラルのトロス",,
巨石記念物,バルーミニのスー・ヌラージ,イタリア,(ⅰ)(ⅲ)(ⅳ),,,,,,,,紀元前16世紀頃から始まった堅固な要塞をヌラーゲという
巨石記念物,ギョベクリ・テペ,トルコ,(ⅰ)(ⅱ)(ⅳ),,先土器新石器時代,,,,,,
巨石記念物,ティヤの石碑群,エチオピア,(ⅰ)(ⅳ),,,,,,,,アフリカ先史時代から残る36基の石碑
古代文明,メンフィスのピラミッド地帯,エジプト・アラブ,(ⅰ)(ⅲ)(ⅵ),,,,ジェセル王,,,,"日干しレンガなどを用いたマスタバと呼ばれる角形の墳墓が主流だった
 クフ王の時代に現存最大のピラミッドが築かれた"
古代文明,殷墟,中国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,殷王朝,,,,,,甲骨文字
古代文明,イラク南部のアフワル：生物多様性の保護地域とメソポタミアの都市の残存景観,イラク,(ⅲ)(ⅴ)(ⅸ)(ⅹ),,シュメール都市,,,,,,世界最大の内陸デルタ地帯の1つ
古代文明,モヘンジョ・ダーロの遺跡群,パキスタン,(ⅱ)(ⅲ),,,,,,,,"整備された下水道網が建物の間に張り巡らされた
 壮大な王宮や墓廟神殿などがないため強大な権力者が存在しなかったと考えられている"
古代文明,バット、アル・フトゥム、アル・アインの考古遺跡,オマーン,(ⅲ)(ⅳ),,,,,,,,アフダル山地にマガン国が造営したとされる集落跡
古代文明,ティカル国立公園,グアテマラ,(ⅰ)(ⅲ)(ⅳ)(ⅸ)(ⅹ),,,,,,,,"39人の王を輩出した強大な都市であった
 1号神殿からア・カカウ王の墓や埋葬品が発見された
 ティカル最後の記録が残る石碑11に869年に相当するマヤ歴の日付を示している"
古代文明,メロエ島の考古遺跡,スーダン,(ⅱ)(ⅲ)(ⅳ)(ⅴ),,クシュ王国,,,,,,アフリカの黒人史上最初の鉄器製造の中心地となった
古代文明,ヒッタイトの首都ハットゥシャ,トルコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,,,ヒッタイト人は優れた製鉄技術を持つ騎馬民族であった
古代文明,カンペチェ州カラクムルの古代マヤ都市と保護熱帯雨林群,メキシコ,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅸ)(ⅹ),,,,,,,,建造物Ⅱはマヤ遺跡の中でも最大級のピラミッドであった
古代文明,ピュー族の古代都市群,ミャンマー,(ⅱ)(ⅲ)(ⅳ),,,,,,,,ハリンベイッタノシュリ・クシェートラはピュー族の王国群
古代文明,アッシュル（カラット・シェルカット）,イラク,(ⅲ)(ⅳ),危機遺産,,,,,,,アッシリアの最初の首都
古代文明,アル・ヒジルの考古遺跡（マダイン・サレハ）,サウジアラビア,(ⅱ)(ⅲ),,,ナバテア（ナバタイ）人,,,,,アル・ヒジルとは岩の多い場所を意味する
古代文明,ジャール平原：シェンクワーン県の巨大石壺遺跡群,ラオス,(ⅲ),,,,マドレーヌ・コラーニ,,,,
